__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_2_repetition_24,DONE,ppm,37.839,7704.09,23.9,0.17,0.0,42480768.0
run_3_repetition_24,DONE,mpi,39.486,6658.73,26.84,0.31,0.0,45174144.0
run_0_repetition_25,DONE,multithreads,82.767,25479.44,25.23,0.3,0.0,4010818.37
run_1_repetition_25,DONE,multiprocesses,39.943,6891.19,25.61,0.04,0.0,12555648.0
run_2_repetition_25,DONE,ppm,42.706,8256.3,25.16,0.2,0.0,42467328.0
run_3_repetition_25,DONE,mpi,44.08,7020.31,25.17,0.34,0.0,45043840.0
run_0_repetition_26,DONE,multithreads,86.361,26188.28,26.25,0.26,0.0,4016431.41
run_1_repetition_26,DONE,multiprocesses,40.411,7290.93,26.1,0.04,0.0,12662528.0
run_2_repetition_26,DONE,ppm,39.386,7627.68,24.59,0.2,0.0,42489600.0
run_3_repetition_26,DONE,mpi,44.255,6988.9,25.53,0.32,0.0,45075712.0
run_0_repetition_27,DONE,multithreads,83.907,26896.86,26.63,0.27,0.0,4021174.86
run_1_repetition_27,DONE,multiprocesses,38.622,6784.03,24.67,0.05,0.0,12404736.0
run_2_repetition_27,DONE,ppm,39.671,7666.0,25.08,0.16,0.0,42510592.0
run_3_repetition_27,DONE,mpi,44.379,7020.39,25.73,0.35,0.0,45119616.0
run_0_repetition_28,DONE,multithreads,85.048,26421.59,26.22,0.34,0.0,4021942.86
run_1_repetition_28,DONE,multiprocesses,37.868,7024.15,23.96,0.05,0.0,12679680.0
run_2_repetition_28,DONE,ppm,40.031,7238.62,24.17,0.14,0.0,41614189.71
run_3_repetition_28,DONE,mpi,44.579,7533.16,27.77,0.3,0.0,45105024.0
run_0_repetition_29,DONE,multithreads,82.726,25197.0,25.22,0.3,0.0,4023689.85
run_1_repetition_29,DONE,multiprocesses,43.203,7971.77,25.89,0.04,0.0,12940856.89
run_2_repetition_29,DONE,ppm,38.618,7705.52,24.96,0.22,0.0,42482048.0
run_3_repetition_29,DONE,mpi,39.673,6589.94,24.99,0.35,0.0,45032064.0
