__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_1_repetition_27,DONE,multiprocesses,24.866,13592.25,1.55,1.84,0.0,11368009.14
run_2_repetition_27,DONE,ppm,20.779,10544.58,2.58,2.04,0.0,44241454.55
run_3_repetition_27,DONE,mpi,25.998,12014.1,2.07,1.96,0.0,46782542.77
run_0_repetition_28,DONE,multithreads,28.756,15631.68,1.46,1.66,0.0,3714349.18
run_1_repetition_28,DONE,multiprocesses,19.016,8999.39,1.43,1.55,0.0,10927718.4
run_2_repetition_28,DONE,ppm,25.832,10242.93,2.42,1.99,0.0,43757670.4
run_3_repetition_28,DONE,mpi,24.587,16188.42,1.95,2.09,0.0,47851881.41
run_0_repetition_29,DONE,multithreads,20.727,9695.56,1.29,1.51,0.0,3591168.0
run_1_repetition_29,DONE,multiprocesses,21.034,9975.56,1.34,1.7,0.0,10996363.64
run_2_repetition_29,DONE,ppm,23.747,10719.43,2.94,2.3,0.0,44216320.0
run_3_repetition_29,DONE,mpi,24.05,12458.9,2.2,2.05,0.0,46977024.0
